Review,Actual,Predicted
the photo of the mila turtleneck where model has her hands to her sides and just below her hair there is a bit of extra fabric which falls to the bottom of the sweater in a bit of a pleat well its not representative of the abundance of fabric in the xl i usually wear an l or xl well with retailer clothing the excess added the appearance of excessive pounds from breasts to bottom of sweater bummer ill be returning it,Negative,Neutral
but not for me i usually try to buy petite sizes since i am only ft in but this was just too pretty to pass up so i took a chance and ordered a regular size xs right out of the bag i was impressed with the colors and fabric of this romper however i did not notice that the entire back was open until i put it on from the pictures it looks like there is a small opening but when i put it on i was exposed all the way down to my lower back this may not be the same for a taller person s,Positive,Negative
this top is very nice i ordered it in black it looked very good the embroidery and pleated details give it a very nice look the fabric however feels like heavy cotton it didnt feel very soft and comfortable it was a bit hard for me to wear because i usually prefer soft cotton while i think this will retain its shape and not stretch like softer cotton i am sending it back it felt a bit heavy to wear,Neutral,Positive
i really wanted to love this shirt the snowflake and stripe design is really cute and the fabric is of nice quality its a very loose fit which i wouldve been willing to work with but as mentioned in previous reviews the shoulder seam rests in an odd place on your upper arm and there are little bumps in the fabric on the arms that appear similar to what happens if you leave a shirt on a wire hanger too long it looks like you have nubby little wings coming out of your arms not attrac,Negative,Neutral
this dress is very thick cotton material like a sweatshirt i was hoping to wear this to a wedding but it is a tunic at best the bell part of the sleeves also stick out awkwardly because of the fabric,Negative,Neutral
first off the prints are gorgeous  i ordered three i wanted to love them but unfortunately i found them short and wide so back they go,Neutral,Negative
maybe its my curves or the way im only  but this was a hot mess on me it is soooo long and cut to low for my d chest it is slim and the cut usually is flattering but somehow this dress was anything but it is really shiny and the material is heavier than anticipated for warm weather if you are super tall and skinny with no boobs go for it had to send back,Negative,Positive
quality is fantastic but i feel like a  would have barely made its way around one leg this pant is way small in terms of sizing and not a style fit for anyone over a  a lot of fabric in the legs nice pant but not for this girl,Negative,Neutral
beautiful dress appears wellmade but unfortunately i wasnt able to get it on about  inch gap in the zipper over chest area first time ive ever sent something back to retailer for not fitting,Neutral,Negative
already got a lot of compliments on the first day i wore this skirt great fun shape very flattering however the  panels were sewn using some type of hardplastic thread which becomes very itchy when you sit down you can literally feel it through the liner and im concerned that over time it might actually rip it very poor attention to details,Neutral,Positive
"i really loved this skirt on the model but it just wasnt flattering when i received my order i ordered two sizes   and  i am  athletic build and the front closure made my waist look much larger than it is the back of the skirt also flared out more than i expected it to 

sadly i had to return both perhaps this would look better on someone with a much taller frame",Negative,Neutral
"this pants the worst short that i ever had
i bought this short last week and i laundry it yesterday and it came out lost color
i was really shock definetly will return it to store
fyi i never use chrolox or bleach when i laundry",Negative,Positive
the sizing and length are great had it not been for my chest area i sized up from my usual medium but the pleats create a maternity look for me unfortunately it truly is a great tank top,Neutral,Positive
